iter	Passed	Remaining
415	3017	3104
416	3024	3096
417	3031	3089
418	3038	3082
419	3045	3074
420	3052	3067
421	3060	3060
422	3067	3052
423	3074	3045
424	3081	3038
425	3088	3030
426	3096	3023
427	3103	3016
428	3110	3009
429	3118	3002
430	3126	2995
431	3132	2987
432	3140	2980
433	3147	2973
434	3154	2965
435	3161	2958
436	3168	2951
437	3175	2943
438	3182	2936
439	3189	2928
440	3197	2921
441	3204	2914
442	3212	2907
443	3219	2900
444	3227	2893
445	3234	2886
446	3241	2879
447	3249	2872
448	3257	2865
449	3265	2859
450	3273	2852
451	3281	2845
452	3288	2838
453	3296	2831
454	3304	2824
455	3311	2817
456	3319	2810
457	3327	2804
458	3335	2798
459	3343	2791
460	3351	2784
461	3358	2777
462	3366	2769
463	3374	2763
464	3382	2756
465	3390	2750
466	3398	2743
467	3406	2736
468	3414	2729
469	3422	2723
470	3443	2726
471	3450	2719
472	3458	2712
473	3466	2705
474	3474	2699
475	3482	2692
476	3490	2685
477	3498	2678
478	3505	2671
479	3512	2663
480	3519	2655
481	3526	2648
482	3534	2641
483	3542	2634
484	3549	2627
485	3556	2620
486	3564	2612
487	3571	2605
488	3579	2598
489	3586	2591
490	3593	2583
491	3600	2576
492	3608	2568
493	3615	2561
494	3622	2554
495	3630	2547
496	3637	2539
497	3645	2532
498	3653	2526
499	3660	2518
500	3668	2511
501	3676	2504
502	3683	2497
503	3690	2489
504	3697	2482
505	3705	2475
506	3712	2467
507	3719	2460
508	3727	2453
509	3734	2446
510	3742	2438
511	3749	2431
512	3756	2423
513	3764	2416
514	3771	2409
515	3778	2402
516	3786	2395
517	3793	2387
518	3801	2380
519	3808	2373
520	3815	2365
521	3822	2358
522	3829	2350
523	3837	2343
524	3844	2335
525	3851	2328
526	3859	2321
527	3867	2314
528	3874	2307
529	3882	2300
530	3890	2293
531	3897	2285
532	3904	2278
533	3911	2271
534	3919	2263
535	3927	2256
536	3934	2249
537	3942	2242
538	3949	2234
539	3956	2227
540	3963	2219
541	3970	2212
542	3977	2204
543	3984	2197
544	3991	2189
545	3998	2182
546	4006	2175
547	4013	2168
548	4021	2160
549	4028	2153
550	4036	2146
551	4043	2139
552	4050	2131
553	4058	2124
554	4064	2116
555	4071	2108
556	4077	2101
557	4085	2094
558	4092	2086
559	4099	2078
560	4106	2071
561	4113	2063
562	4120	2056
563	4127	2048
564	4135	2041
565	4142	2034
566	4149	2027
567	4157	2019
568	4164	2012
569	4171	2005
570	4179	1998
571	4186	1990
572	4194	1983
573	4201	1976
574	4208	1968
575	4216	1961
576	4223	1954
577	4230	1947
578	4237	1939
579	4245	1932
580	4253	1925
581	4260	1917
582	4266	1910
583	4273	1902
584	4281	1895
585	4288	1887
586	4295	1880
587	4302	1873
588	4309	1865
589	4316	1858
590	4324	1851
591	4330	1843
592	4338	1836
593	4345	1828
594	4352	1821
595	4360	1814
596	4367	1807
597	4375	1799
598	4382	1792
599	4388	1784
600	4395	1777
601	4402	1769
602	4409	1762
603	4417	1755
604	4425	1748
605	4433	1741
606	4440	1733
607	4447	1726
608	4454	1718
609	4463	1712
610	4470	1704
611	4477	1697
612	4485	1690
613	4492	1682
614	4499	1675
615	4507	1668
616	4515	1661
617	4522	1653
618	4530	1646
619	4537	1639
620	4545	1632
621	4551	1624
622	4558	1617
623	4566	1609
624	4573	1602
625	4581	1595
626	4588	1588
627	4595	1580
628	4602	1573
629	4609	1565
630	4617	1558
631	4624	1551
632	4631	1543
633	4638	1536
634	4645	1529
635	4653	1521
636	4660	1514
637	4668	1507
638	4675	1499
639	4682	1492
640	4689	1485
641	4696	1477
642	4704	1470
643	4711	1463
644	4718	1455
645	4725	1448
646	4733	1441
647	4741	1434
648	4748	1426
649	4755	1419
650	4762	1411
651	4770	1404
652	4776	1397
653	4783	1389
654	4791	1382
655	4798	1375
656	4806	1367
657	4812	1360
658	4820	1353
659	4828	1346
660	4835	1338
661	4842	1331
662	4849	1324
663	4857	1316
664	4865	1309
665	4872	1302
666	4879	1294
667	4886	1287
668	4892	1279
669	4900	1272
670	4907	1265
671	4915	1258
672	4921	1250
673	4928	1243
674	4935	1235
675	4942	1228
676	4949	1220
677	4956	1213
678	4963	1206
679	4971	1198
680	4978	1191
681	4985	1184
682	4992	1176
683	5000	1169
684	5007	1162
685	5015	1155
686	5022	1147
687	5030	1140
688	5037	1133
689	5044	1125
690	5051	1118
691	5058	1111
692	5065	1103
693	5072	1096
694	5079	1088
695	5086	1081
696	5093	1074
697	5100	1066
698	5106	1059
699	5113	1051
700	5121	1044
701	5128	1037
702	5135	1030
703	5143	1022
704	5150	1015
705	5157	1008
706	5164	1000
707	5172	993
708	5180	986
709	5187	979
710	5195	971
711	5203	964
712	5210	957
713	5218	950
714	5225	942
715	5233	935
716	5241	928
717	5249	921
718	5258	914
719	5265	906
720	5274	899
721	5282	892
722	5289	885
723	5297	878
724	5306	870
725	5313	863
726	5321	856
727	5330	849
728	5338	842
729	5346	834
730	5353	827
731	5360	820
732	5368	812
733	5375	805
734	5383	798
735	5390	791
736	5397	783
737	5405	776
738	5413	769
739	5420	761
740	5427	754
741	5434	747
742	5442	739
743	5449	732
744	5456	725
745	5464	717
746	5471	710
747	5479	703
748	5486	695
749	5494	688
750	5500	681
751	5508	673
752	5516	666
753	5523	659
754	5529	651
755	5536	644
756	5543	637
757	5551	629
758	5558	622
759	5565	615
760	5572	607
761	5580	600
762	5587	593
763	5595	585
764	5602	578
765	5610	571
766	5617	563
767	5624	556
768	5631	549
769	5637	541
770	5645	534
771	5651	527
772	5658	519
773	5667	512
774	5674	505
775	5681	497
776	5689	490
777	5695	483
778	5703	475
779	5711	468
780	5718	461
781	5726	454
782	5733	446
783	5739	439
784	5747	431
785	5754	424
786	5760	417
787	5768	409
788	5775	402
789	5782	395
790	5789	387
791	5796	380
792	5802	373
793	5810	365
794	5817	358
795	5825	351
796	5832	343
797	5839	336
798	5846	329
799	5854	321
800	5861	314
801	5868	307
802	5875	299
803	5882	292
804	5889	285
805	5896	277
806	5903	270
807	5910	263
808	5918	256
809	5925	248
810	5932	241
811	5941	234
812	5949	226
813	5956	219
814	5964	212
815	5971	204
816	5978	197
817	5985	190
818	5993	182
819	6000	175
820	6008	168
821	6015	161
822	6022	153
823	6031	146
824	6038	139
825	6045	131
826	6053	124
827	6060	117
828	6068	109
829	6074	102
830	6081	95
831	6089	87
832	6096	80
833	6103	73
834	6110	65
835	6117	58
836	6125	51
837	6132	43
838	6138	36
839	6146	29
840	6153	21
841	6160	14
842	6168	7
843	6176	0
