iter	MultiClass
0	0.9439981862
1	0.843937607
2	0.7714144085
3	0.715623175
4	0.67224907
5	0.6399676745
6	0.6028198002
7	0.5644020154
8	0.5371482917
9	0.5107452094
10	0.4908346592
11	0.4646072009
12	0.4419523552
13	0.417273697
14	0.3982273053
15	0.3804944105
16	0.3603183597
17	0.3429321674
18	0.3264840267
19	0.3179560028
20	0.3059691038
21	0.2928475413
22	0.2767550141
23	0.2662134469
24	0.2527640717
25	0.2455355889
26	0.2366339797
27	0.2278873259
28	0.2194449806
29	0.2134892529
30	0.2037055127
31	0.1966208773
32	0.1897435131
33	0.1850256492
34	0.1789961556
35	0.1741197414
36	0.1670634182
37	0.1631107503
38	0.1587834273
39	0.1562624805
40	0.1512651112
41	0.1471733134
42	0.1417407912
43	0.1363488769
44	0.1324246384
45	0.1287912488
46	0.1248038396
47	0.1223741871
48	0.1171153238
49	0.1144468214
50	0.1126062474
51	0.1096238252
52	0.1048753232
53	0.1026422927
54	0.1010967177
55	0.09871136162
56	0.09671407069
57	0.09437687779
58	0.09273966918
59	0.09032504499
60	0.08696800806
61	0.08263908629
62	0.08086807556
63	0.07860086898
64	0.07720302668
65	0.07449475195
66	0.0719442409
67	0.07078264249
68	0.06788092011
69	0.06650319514
70	0.06522805163
71	0.06307255799
72	0.06019618123
73	0.0591453378
74	0.05820191873
75	0.05717095372
76	0.05582136945
77	0.05465362105
78	0.05354482115
79	0.0519621123
80	0.05066284281
81	0.04917635756
82	0.04822141873
83	0.04647591097
84	0.04559063769
85	0.04430690804
86	0.04304446815
87	0.04184120288
88	0.04080982224
89	0.03932134837
90	0.03878457218
91	0.0375449011
92	0.03668048565
93	0.03565566995
94	0.03471513484
95	0.0340953595
96	0.03342658565
97	0.03181980124
98	0.03087913041
99	0.02987859489
100	0.02901561883
101	0.02837062216
102	0.0274956316
103	0.0270926446
104	0.02671028468
105	0.02596341576
106	0.02564906956
107	0.02467806329
108	0.0239644942
109	0.02317724574
110	0.02255996562
111	0.02184830689
112	0.02144779987
113	0.02099177961
114	0.02044373149
115	0.02010331582
116	0.01926025198
117	0.01884746816
118	0.01844332465
119	0.0179129352
120	0.01727355375
121	0.01682580601
122	0.01608016265
123	0.01554459893
124	0.01523541417
125	0.01492852334
126	0.0145553146
127	0.01410123718
128	0.013793826
129	0.01334278665
130	0.01295494104
131	0.01257530452
132	0.01234855265
133	0.01206513894
134	0.01165193356
135	0.01136145298
136	0.01104670003
137	0.0107445171
138	0.01039444201
139	0.009916564957
140	0.009698284392
141	0.009509671929
142	0.009170832891
143	0.008915847098
144	0.008682322466
145	0.008408468125
146	0.008142817229
147	0.007918804668
148	0.007707270681
149	0.007523217575
150	0.007432340877
151	0.007181556142
152	0.006791890648
153	0.006638733789
154	0.006452768742
155	0.006256450201
156	0.006082236215
157	0.006002781818
158	0.005845951384
159	0.005740900925
160	0.005574754498
161	0.005461368397
162	0.005343508868
163	0.005248761286
164	0.005110925766
165	0.004934538996
166	0.004750045667
167	0.004616571571
168	0.004486622347
169	0.004373871662
170	0.004235432212
171	0.004147843918
172	0.004071578009
173	0.003903060639
174	0.003819715386
175	0.003736992054
176	0.003628873058
177	0.0035648385
178	0.003486254721
179	0.003402387174
180	0.003307335371
181	0.003237264054
182	0.003164740621
183	0.003095494224
184	0.003040237665
185	0.002950956291
186	0.002864991593
187	0.002816245558
188	0.002753958721
189	0.002708059998
190	0.002635521487
191	0.002594859273
192	0.002527424315
