iter	MultiClass
690	0.0773794659
691	0.07727410224
692	0.07719915373
693	0.07713917476
694	0.07698891969
695	0.07691721315
696	0.07667081596
697	0.07662681398
698	0.07651424608
699	0.07637151706
700	0.0761663316
701	0.07604134715
702	0.07595054716
703	0.07589145949
704	0.07582363873
705	0.07578428189
706	0.07570652654
707	0.07542761452
708	0.07524641386
709	0.07501798857
710	0.074845281
711	0.07472590838
712	0.07454495337
713	0.07444051912
714	0.07426891987
715	0.07417371501
716	0.0741228635
717	0.0739528654
718	0.07391981229
719	0.07378890076
720	0.07356145065
721	0.07342310384
722	0.07336729368
723	0.07331440462
724	0.07315725503
725	0.07291717735
726	0.07284032919
727	0.07269931881
728	0.07261919891
729	0.07236146402
730	0.07230282452
731	0.07205740651
732	0.0718754506
733	0.07179431064
734	0.07173870842
735	0.07169608251
736	0.07146982731
737	0.07134224761
738	0.0711758892
739	0.07104411486
740	0.07098113932
741	0.0709000519
742	0.07082697217
743	0.07064538601
744	0.07057273303
745	0.07038156431
746	0.07029321654
747	0.07017924385
748	0.07004210545
749	0.06990696431
750	0.06975567848
751	0.06960307933
752	0.06956007386
753	0.06946680108
754	0.06928208464
755	0.06918426117
756	0.06900775442
757	0.0689764305
758	0.06888253149
759	0.06873543493
760	0.0686427052
761	0.06852431078
762	0.06840780048
763	0.06825314469
764	0.06803357723
765	0.06792561326
766	0.06784912909
767	0.06773772629
768	0.06754817521
769	0.06750470369
770	0.06744021304
771	0.06733657742
772	0.06724149984
773	0.06715961079
774	0.06711476938
775	0.06700402314
776	0.06693455126
777	0.06685117239
778	0.06676559274
779	0.06655651582
780	0.06642337663
781	0.06631257596
782	0.0662069225
783	0.06618426381
784	0.06610378881
785	0.06603683958
786	0.06591843874
787	0.06581626577
788	0.06572983824
789	0.0656710042
790	0.0654776489
791	0.06536825794
792	0.0653090309
793	0.06527204922
794	0.06519806129
795	0.06518322797
796	0.06508153726
797	0.06503523757
798	0.06494012172
799	0.06478389164
800	0.06470523254
801	0.06462568398
802	0.06447490131
803	0.06441439567
804	0.06433903496
805	0.06429343453
806	0.06423482577
807	0.06414500065
808	0.06399543659
809	0.0639172528
810	0.06384291566
811	0.06370119555
812	0.06358868189
